company_name for Emails,facebook_url,domain
Metro de Madrid S.A,,metromadrid.es
Emergia Contact Center,https://www.facebook.com/emergiaColombia/,emergiacc.com
MediaMarkt España,,mediamarkt.es
Profesional Independiente,http://facebook.com/coaatva,coaatva.es
ZENER,https://www.facebook.com/GRUPOZENER/,zener.es
Universidad de Zaragoza,,unizar.es
University of Navarra,https://es-es.facebook.com/unav,unav.edu
Autónoma,,clopez.es
Logista,,logista.com
Cuenta Propia,,temporal.es
Ayuntamiento de Elche,,
Radiotelevisión Española,,
Bankinter,https://facebook.com/bankinter,bankinter.com
Nova,https://facebook.com/novaswe,novatalent.com
Ayuntamiento de Elche,,
Radiotelevisión Española,,
Naturgy,https://www.facebook.com/Naturgy/,naturgy.com
Naturgy,https://www.facebook.com/NaturgyEspanaClientes,naturgy.es
Werfen,,werfen.com
Wall Street English,https://facebook.com/WallStreetEnglish/,wallstreetenglish.com
Universitat Oberta de Catalunya,,uoc.edu
Fluidra,,fluidra.com
Moventia,,moventia.es
Universitat de Barcelona,https://www.facebook.com/UniversitatdeBarcelona,ub.edu
ALIMERKA,https://facebook.com/alimerka.es,alimerka.es
ABANCA,https://www.facebook.com/SomosABANCApt/,abanca.com
Tragsatec,,
Tragsatec,,
Orona,,orona-group.com
Generalitat De Catalunya Departament D'ensenyament,https://www.facebook.com/saloensenyament,ensenyament.com
SACYL,,sacylpharma.com
PULL&BEAR,https://facebook.com/pullandbear,pullandbear.com
Caprabo,https://www.facebook.com/Caprabo,caprabo.com
Universidad de Granada,https://facebook.com/universidad-de-granada,ugr.es
Nealis,,nealis.com
Gonvarri Industries,,gonvarri.com
Grupo Hotusa,,grupohotusa.com
Mi Hogar,,
EPSA,https://facebook.com/epsa-internacional-198970313500134,epsagroup.com
El Corte Inglés Travel,https://facebook.com/viajeselcorteingles,viajeselcorteingles.es
INECO,,ineco.com
Globeducate,https://facebook.com/globeducate/,globeducate.com
Mi Hogar,,
Junta de Extremadura,,
Junta de Extremadura,,
Gureak,https://www.facebook.com/grupogureak,gureak.com
contructora,https://facebook.com/pages/Asesoria-virgen-del-mar/105873996165466,virgen-del-mar.es
Accenture España,,
ITP Aero,,itpaero.com
INTEGRA Centro Especial de Empleo,https://www.facebook.com/IntegraCentroEspecialEmpleo,integracee.es
Limcamar,https://www.facebook.com/Limcamar-758235224295993/timeline/,limcamar.es
Accenture España,,
Ibercaja,https://facebook.com/ibercaja,ibercaja.es
CEU Educational Group,https://es-es.facebook.com/fundacionceu/,ceu.es
Ventas,,acsinserta.gal
Viscofan,,viscofan.com
PwC España,,pwc.es
everis,https://facebook.com/everis/,everis.com
IDOM Consulting Engineering Architecture,https://www.facebook.com/IdomGroup,idom.com
SEIDOR,https://facebook.com/Seidor,seidor.com
KPMG España,https://www.facebook.com/KPMG,
ELPOZO ALIMENTACIÓN,https://www.facebook.com/ElPozoAlimentacion/timeline/,elpozo.com
Kutxabank,,kutxabank.es
Ninguna Necesidad Sin Cubrir,,
KPMG España,https://www.facebook.com/KPMG,
Ninguna Necesidad Sin Cubrir,,
AIRCEL,,
CAJAMAR,https://www.facebook.com/cajamar,grupocooperativocajamar.es
AIRCEL,,
Trabajo independiente,,
EOI Business School,https://facebook.com/eoi.edu,eoi.es
Ministerio de la Presidencia Justicia y Relaciones con las Cortes,https://www.facebook.com/MinisterioPresidencia,mpr.gob.es
Trabajo independiente,,
Mercedes-Benz España,https://facebook.com/talleres.autolica,mercedes-benz.es
Triangle Solutions RRHH,https://www.facebook.com/TriangleRRHH/,trianglerrhh.es
Anari Ltd an Accelya Group Company,,
Hotelbeds,https://www.facebook.com/Hotelbeds,hotelbeds.com
Occident,https://www.facebook.com/OccidentSeguros,occident.com
Getnet,,getnetworld.com
Europastry,https://facebook.com/europastryUS/,europastry.com
Selección de consultores,,
Ávoris,,avoristravel.com
Navantia S.A. S.M.E,https://facebook.com/navantiaoficial,navantia.es
Amelia Iberia and Latam,,
Fundación Diagrama,https://www.facebook.com/fundaciondiagrama,fundaciondiagrama.es
Anari Ltd an Accelya Group Company,,
Selección de consultores,,
Amelia Iberia and Latam,,
Vidrala,,vidrala.com
Nauterra España,,nauterra.com
IVI RMA GLOBAL,,ivirma.com
GSS,https://facebook.com/Centrinex,
Servicio Canario de Salud,https://www.facebook.com/iessanjuandelarambla,
GSS,https://facebook.com/Centrinex,
Servicio Canario de Salud,https://www.facebook.com/iessanjuandelarambla,
Serveo,,serveo.com
UNED,https://facebook.com/uned.es,uned.es
Parc Taulí Hospital Universitari,,tauli.cat
despacho de abogados,,
despacho de abogados,,
Cerealto,,cerealto.com
Volkswagen Navarra,,vw-navarra.es
TASUBINSA,https://www.facebook.com/Tasubinsa/,tasubinsa.com
Ingeteam,https://facebook.com/Ingeteam-102964543103350/,ingeteam.com
Vueling Airlines,https://facebook.com/vueling.eu/?brand_redir=40317581032,vueling.com
Telefónica Tech,,
Telefónica Tech,,
Tie hotels,,tiehotels.com
Autoservicio,,
Autoservicio,,
JEALSA,,jealsa.com
Grupo Planeta,,planeta.es
AWWG,,awwg.com
Sunset,https://www.facebook.com/ocaso.es,ocaso.es
Hospital Clínic de Barcelona,,clinicbarcelona.org
Hospiten,https://www.facebook.com/hospiten,hospiten.com
FREMAP,https://facebook.com/pages/Fremap-Matepss-N-61/497253610346014,fremap.es
Universitat Politècnica de València,,upv.es
VASS,https://www.facebook.com/profile.php,
VASS,https://www.facebook.com/profile.php,
ONO,https://facebook.com/ono,ono.es
Coxabengoa,https://www.facebook.com/cox.grupo/,grupocox.com
Hospital Universitari Vall d'Hebron,https://www.facebook.com/vallhebroncampus,vallhebron.com
FIRMA,,wearefirma.com
Srilanka,,
LA VIDA,,lavidamassage.com
Srilanka,,
Quirónprevención,https://www.facebook.com/quironprev/,quironprevencion.com
Glovo,https://facebook.com/LifeAtGlovo/,glovoapp.com
Universidad de Málaga,http://www.facebook.com/pages/Universidad-de-Malaga/361425208192,uma.es
OHLA Group,,ohla-group.com
Mahou San Miguel,,mahou-sanmiguel.com
UNIVERSIDAD NACIONAL DE EDUCACIÓN A DISTANCIA,,unedmadrid.es
Despacho unipersonal,https://www.facebook.com/ABOGADOS-RUANO-PEREZ-240367939329732/,ruanoabogados.com
italki,http://www.facebook.com/italkilanguages,italki.com
Asispa Atención a Personas,https://facebook.com/asispa.oficial,asispa.org
EHU,https://www.facebook.com/ehunibertsitatea,ehu.eus
Universidad de Castilla-La Mancha,http://www.facebook.com/uclm.es,uclm.es
NINGUNO,,siadde.es
Gas Natural Fenosa,https://facebook.com/GasNaturalFenosa,gasnaturalfenosa.com
Somos Grupo MAS,,somosgrupomas.com
Barcelona City Council,,barcelona.cat
Porcelanosa,https://facebook.com/PorcelanosaGroup,porcelanosa.com
ENAIRE,https://www.facebook.com/ENAIRE.es,enaire.es
Grupo Elsamex,,grupoelsamex.com
Universidad de Salamanca,https://www.facebook.com/universidaddesalamanca,usal.es
Gobierno de Navarra,,navarra.es
Clínica Universidad de Navarra,https://www.facebook.com/clinicauniversidadnavarra,cun.es
Ayuntamiento de Murcia,https://facebook.com/AyuntamientoDeMurcia,murcia.es
Grupo Sureste,https://www.facebook.com/GrupoSureste,gruposureste.es
Teka Group,https://facebook.com/Teka/,
PLANASA,https://www.facebook.com/planasa.group/,planasa.com
Ministerio de Justicia y Derechos Humanos,https://facebook.com/ministerio.justiciachile,minjusticia.gob.cl
ejercicio libre de la profesión de abogado,,
Teka Group,https://facebook.com/Teka/,
ejercicio libre de la profesión de abogado,,
Universidad de Murcia,https://facebook.com/universidadmurcia,um.es
Banco Mediolanum,,bancomediolanum.es
Babel,,babelgroup.com
COSENTINO,https://www.facebook.com/CosentinoInternational,cosentino.com
Santander Corporate & Investment Banking,,santandercib.com
Bankia,https://www.facebook.com/caixabank,
Bankia,https://www.facebook.com/caixabank,
Job&Talent,https://facebook.com/jobandtalent/?brand_redir=169415279835352,jobandtalent.com
Bar,,rtelosleones.es
Universidad de Santiago de Compostela,https://es-es.facebook.com/UniversidadeUSC,usc.es
Be Live Hotels,https://www.facebook.com/BeLiveHotels,belivehotels.com
Serunion-Grupo Elior,,
Carrefour market,,
Administracion,,
Velatia,https://facebook.com/velatia-1634185503460158,velatia.com
Sener,,group.sener
Altia,,altiacompany.com
Serunion-Grupo Elior,,
Carrefour market,,
Administracion,,
Armada,,
Consejería de Educación,,cprmurcia2.com
Universitat d'Alacant,https://facebook.com/campusua,ua.es
Grupo Piñero,https://www.facebook.com/GrupoPinero/,grupo-pinero.com
Davante,,davante.es
Makro España,https://www.facebook.com/MakroEspana,makro.es
IE Business School,,ie.edu
Universitat Pompeu Fabra,https://www.facebook.com/BarcelonaSchoolOfManagement,upf.edu
Armada,,
Volkswagen Group Retail Spain,,vwgroupretail.es
Vicky Foods,,vickyfoods.es
Altadia,,altadiagroup.com
Kids&Us Language School,https://www.facebook.com/KidsandUsSchoolofEnglish,kidsandus.com
Carreras Grupo Logístico,https://facebook.com/carrerasgrupologistico,grupocarreras.com
Grupo DISA,,disagrupo.es
Autonomo,,formalimp.com
VIEWNEXT,,viewnext.com
Grupo Azvi,,grupoazvi.com
Grupo Profand,,profand.com
Talgo,https://www.facebook.com/profile.php,talgo.com
Limpieza por Horas,,limpiezaporhoras.com
Oesia,https://facebook.com/grupo.oesia/,grupooesia.com
SPRINTER,https://facebook.com/sprinter.tiendas.deportes#native-browser,sprintersports.com
Vectalia,https://www.facebook.com/vectalia/,vectalia.es
HM Hospitales,,hmhospitales.com
Multiservicios Aeroportuarios S.A,,multiserviciosaeroportuarios.com
Santillana Latinoamérica,https://facebook.com/pages/CodeVisually/214641498591147,santillana.com
SEM,,semgrupo.es
FAGOR EDERLAN,,fagorederlan.com
Limpieza y Servicios,,
Universidad de Cádiz,,uca.es
Limpieza y Servicios,,
Grupo Ortiz,https://www.facebook.com/GrupoOrtizCom/,grupoortiz.com
Pepco Iberia,,
Universidad de Oviedo,https://facebook.com/serviempleouniovi,uniovi.es
Vitaldent,https://facebook.com/vitaldentespana,vitaldent.com
ARQUISOCIAL SL,,arquisocial.es
Consorci Sanitari Integral,https://facebook.com/consorcicsi,csi.cat
SANDO,,sando.com
Ministerio de Educación España,https://www.facebook.com/educaciongob,educacionfpydeportes.gob.es
PROEDUCA,,grupoproeduca.com
